species	ANI
Halobacteriovorax marinus	98.14
Staphylococcus nepalensis	99.62
Dermabacter jinjuensis	98.84
Runella zeae	99.30
Kosakonia pseudosacchari	98.52
Rhizobium hidalgonense	99.38
Mycolicibacterium agri	99.99
Mycolicibacterium boenickei	99.99
Mycolicibacterium brumae	99.99
Mycolicibacterium duvalii	99.99
Peribacillus butanolivorans	98.33
Brevibacterium epidermidis	96.52
Lacimicrobium alkaliphilum	99.97
Marinicella litoralis	99.99
Neolewinella marina	100.00
Xenorhabdus ehlersii	99.99
Xenorhabdus mauleonii	100.00
Mycoplasmopsis bovirhinis	98.54
Malaciobacter molluscorum	99.68
Malaciobacter marinus	99.63
Malaciobacter canalis	100.00
Gluconobacter cerinus	97.02
Gluconobacter kondonii	97.93
Streptomyces cinnamoneus	99.98
Cyanobacterium aponinum	98.37
Acetobacter pomorum	100.00
Campylobacter vulpis	99.40
Paremcibacter congregatus	99.99
Pseudomonas toyotomiensis	98.87
Mesoplasma entomophilum	99.37
Methylobacterium frigidaeris	99.98
Massilia psychrophila	99.99
Fusobacterium pseudoperiodonticum	96.93
Phyllobacterium zundukense	100.00
Shewanella carassii	99.52
Pseudooceanicola antarcticus	99.99
Pseudooceanicola marinus	99.99
Halohasta litchfieldiae	100.00
Epibacterium ulvae	98.62
Sediminihabitans luteus	100.00
Salinibacterium amurskyense	100.00
Mycobacterium goodii	99.32
Minwuia thermotolerans	99.97
Thomasclavelia cocleata	98.79
Lysinibacillus xylanilyticus	97.63
Brucella pituitosa	98.74
Streptomyces cavourensis	99.31
Entomoplasma freundtii	100.00
Virgibacillus profundi	99.97
Leptospira kmetyi	99.11
Leptospira hartskeerlii	100.00
Streptomyces barkulensis	99.96
Leptospira wolffii	96.96
Leptospira adleri	99.18
Leptospira perolatii	100.00
Leptospira harrisiae	99.98
Leptospira levettii	98.46
Leptospira ellisii	99.85
Leptospira haakeii	99.99
Achromobacter spanius	100.00
Pseudomonas baetica	99.92
Methanobacterium subterraneum	98.80
Pseudoalteromonas spongiae	96.44
Salegentibacter salinarum	100.00
Enterovibrio nigricans	99.92
Corynebacterium mastitidis	96.71
Pseudoalteromonas arctica	97.47
Nocardioides alpinus	100.00
Shewanella chilikensis	99.33
Shewanella indica	98.61
Kangiella profundi	99.99
Thalassospira marina	97.77
Cereibacter azotoformans	99.35
Pleomorphomonas diazotrophica	100.00
Helicobacter winghamensis	99.60
Xanthomonas prunicola	97.65
Flavobacterium lindanitolerans	98.88
Falseniella ignava	97.83
Aerococcus sanguinicola	99.96
Anaerococcus octavius	98.23
Globicatella sanguinis	98.30
Corynebacterium pyruviciproducens	97.75
Kocuria flava	98.35
Photobacterium carnosum	98.95
Arthrobacter crystallopoietes	99.99
Beggiatoa leptomitoformis	100.00
Prevotella jejuni	96.96
Chimaeribacter arupi	99.40
Caulobacter flavus	100.00
Actinotignum timonense	99.50
Corynebacterium coyleae	98.36
Pseudomonas guariconensis	99.52
Thiopseudomonas denitrificans	99.99
Niveispirillum cyanobacteriorum	100.00
Sedimenticola selenatireducens	98.35
Fischerella muscicola	99.68
Fervidicoccus fontis	99.66
Dolosicoccus paucivorans	99.55
Brevibacterium luteolum	97.51
Micrococcus lylae	98.71
Gardnerella swidsinskii	98.27
Zhihengliuella halotolerans	97.78
Bacteriovorax stolpii	99.51
Roseiflexus castenholzii	97.46
Desulfurella multipotens	99.08
Komagataeibacter saccharivorans	99.15
Candidatus Dehalogenimonas etheniformans	100.00
Glutamicibacter arilaitensis	98.59
Halomonas urumqiensis	99.99
Halomonas heilongjiangensis	99.99
Trinickia soli	100.00
Paraburkholderia rhynchosiae	100.00
Trinickia caryophylli	100.00
Paenibacillus castaneae	100.00
Salipaludibacillus neizhouensis	100.00
Alteribacillus bidgolensis	100.00
Tistlia consotensis	99.99
Streptomyces eurocidicus	99.99
Vibrio diazotrophicus	97.48
Salinibacter altiplanensis	98.48
Azospirillum argentinense	97.95
Actinomyces qiguomingii	99.97
Petrotoga olearia	100.00
Pseudoclostridium thermosuccinogenes	99.70
Dictyoglomus turgidum	99.72
Microbacterium testaceum	98.73
Formosa algae	99.40
Pseudonocardia dioxanivorans	98.92
Staphylococcus muscae	99.99
Staphylococcus petrasii	98.68
Staphylococcus felis	99.19
Mammaliicoccus stepanovicii	99.98
Staphylococcus croceilyticus	99.98
Staphylococcus devriesei	99.77
Halopseudomonas oceani	100.00
Herbinix hemicellulosilytica	99.99
Novacetimonas maltaceti	100.00
Cryobacterium zongtaii	97.87
Arthrobacter glacialis	99.28
Campylobacter concisus	99.41
Agrobacterium rosae	98.41
Superficieibacter electus	99.99
Lactonifactor longoviformis	99.99
Agrobacterium fabrum	98.48
Lactobacillus bombicola	98.82
Avibacterium gallinarum	100.00
Pectobacterium versatile	97.77
Lelliottia aquatilis	99.59
Petrotoga sibirica	100.00
Terrimesophilobacter mesophilus	100.00
Kaistia algarum	100.00
Rathayibacter rathayi	99.68
Rathayibacter iranicus	99.97
Marinobacter flavimaris	100.00
Caldimonas thermodepolymerans	99.86
Nocardia nova	98.73
Vibrio gangliei	99.99
Nonlabens xylanidelens	100.00
Parapedobacter indicus	100.00
Oceanisphaera arctica	99.99
Rhodoblastus sphagnicola	99.99
Rhodoblastus acidophilus	99.54
Blastococcus saxobsidens	100.00
Brachyspira murdochii	97.58
Xanthomonas bromi	99.99
Xanthomonas melonis	98.96
Xanthomonas pisi	99.98
Xanthomonas theicola	99.99
Hanstruepera ponticola	97.38
Brucella oryzae	99.00
Chryseobacterium shigense	100.00
Chryseobacterium piscicola	100.00
Methylophaga nitratireducenticrescens	99.16
Psychrosphaera saromensis	99.99
Polaribacter gangjinensis	100.00
Polaribacter glomeratus	100.00
Polaribacter porphyrae	100.00
Veillonella tobetsuensis	97.57
Apibacter adventoris	98.28
Mycobacterium virginiense	99.35
Mycolicibacterium austroafricanum	98.92
Acetivibrio saccincola	99.62
Microbacterium halophytorum	99.99
Phyllobacterium myrsinacearum	99.73
Apilactobacillus micheneri	98.29
Chromobacterium amazonense	97.88
Clostridium thermopalmarium	99.79
Bacteroides zoogleoformans	99.47
Bacteroides heparinolyticus	97.57
Mesoplasma coleopterae	99.05
Actinoplanes italicus	99.99
Meinhardsimonia xiamenensis	100.00
Salegentibacter salegens	100.00
Pontibacter ummariensis	100.00
Flavobacterium granuli	100.00
Paraburkholderia eburnea	100.00
Marinobacter halophilus	100.00
Marinobacter shengliensis	96.32
Phyllobacterium endophyticum	99.68
Brevibacillus brevis	100.00
Limimaricola soesokkakensis	100.00
Prolixibacter denitrificans	100.00
Haloactinopolyspora alba	99.99
Labedella gwakjiensis	99.99
Campylobacter blaseri	100.00
Paramuribaculum intestinale	99.44
Shewanella morhuae	98.53
Pectobacterium punjabense	99.38
Acidovorax cattleyae	99.80
Megasphaera stantonii	98.27
Marivirga lumbricoides	98.41
Pseudomonas aylmerensis	100.00
Pseudomonas otitidis	98.22
Cereibacter changlensis	98.84
Phaeovulum veldkampii	100.00
Neisseria wadsworthii	98.29
Dietzia psychralcaliphila	99.49
Rhodovulum imhoffii	100.00
Stenotrophomonas panacihumi	99.99
Streptomyces chartreusis	99.25
Lysinibacillus tabacifolii	100.00
Ureibacillus chungkukjangi	99.44
Lysinibacillus mangiferihumi	99.25
Microvirgula aerodenitrificans	98.70
Coprothermobacter proteolyticus	97.42
Rhodobacter aestuarii	100.00
Pararhodobacter aggregans	100.00
Sphingobacterium faecium	99.20
Halanaerobium congolense	98.37
Allosediminivita pacifica	100.00
Gemmobacter caeni	99.99
Saccharospirillum mangrovi	100.00
Yoonia sediminilitoris	100.00
Legionella taurinensis	99.75
Chitinophaga costaii	100.00
Fuscovulum blasticum	97.63
Dehalogenimonas alkenigignens	99.33
Dietzia lutea	99.98
Cupriavidus alkaliphilus	98.62
Buchnera aphidicola	99.98
Mycobacterium montefiorense	98.36
Methylosinus sporium	99.19
Salinibacterium hongtaonis	98.86
Corynebacterium yudongzhengii	99.99
Agromyces badenianii	98.78
Corynebacterium liangguodongii	99.95
Mycetocola zhujimingii	98.04
Brenneria roseae	96.84
Brenneria nigrifluens	99.99
Gordonia paraffinivorans	99.01
Ignatzschineria ureiclastica	99.99
Ignatzschineria cameli	99.20
Ignatzschineria indica	99.99
Pseudomonas prosekii	97.51
Kocuria rosea	99.03
Aggregatibacter kilianii	98.98
Aquirufa nivalisilvae	97.47
Kurthia zopfii	99.76
Kurthia sibirica	99.99
Proteus terrae	98.41
Proteus hauseri	98.94
Proteus faecis	99.33
Maribacter polysiphoniae	99.60
Cupriavidus plantarum	99.09
Silicimonas algicola	100.00
Lentzea atacamensis	98.84
Fulvimonas soli	99.99
Murimonas intestini	99.49
Quadrisphaera granulorum	100.00
Branchiibius hedensis	100.00
Jannaschia seohaensis	100.00
Amedibacillus dolichus	99.09
Zavarzinia compransoris	99.99
Nitrosopumilus zosterae	99.99
Micromonospora globispora	99.61
Chitinophaga alhagiae	100.00
Nocardia neocaledoniensis	100.00
Eubacterium limosum	98.97
Chromohalobacter salexigens	98.42
Arthrobacter psychrochitiniphilus	100.00
Paraburkholderia caballeronis	99.58
Chelatococcus asaccharovorans	99.22
Dielma fastidiosa	98.79
Prauserella muralis	100.00
Novacetimonas pomaceti	98.53
Komagataeibacter sucrofermentans	100.00
Komagataeibacter swingsii	98.67
Microbacterium suaedae	100.00
Georgenia satyanarayanai	100.00
Winogradskyella epiphytica	99.99
Xylophilus ampelinus	99.99
Arthrobacter stackebrandtii	99.99
Idiomarina fontislapidosi	100.00
Parazoarcus communis	99.62
Modestobacter versicolor	99.99
Lysobacter maris	98.63
Enterococcus plantarum	98.90
Pseudomonas kuykendallii	98.36
Thermocrispum agreste	99.56
Sphaerobacter thermophilus	98.97
Paenibacillus silvae	97.81
Micromonospora phaseoli	100.00
Thermosporothrix hazakensis	99.99
Lachnoanaerobaculum umeaense	99.59
Flavobacterium nitrogenifigens	99.99
Bradymonas sediminis	99.99
Rhodoplanes elegans	99.95
Rhodobium orientis	100.00
Afifella marina	100.00
Spirosoma telluris	100.00
Marinomonas arctica	99.99
Aliidiomarina maris	100.00
Chitinophaga ginsengisegetis	98.46
Actinoplanes lutulentus	100.00
Salipiger aestuarii	99.80
Desulfobacter hydrogenophilus	100.00
Polynucleobacter paneuropaeus	98.66
Klebsiella grimontii	99.22
Hyphomonas pacifica	99.62
Rahnella inusitata	99.60
Vibrio marisflavi	99.88
Micromonospora saelicesensis	98.93
Micromonospora noduli	99.15
Methanosphaera stadtmanae	99.79
Aeromonas bivalvium	98.31
Streptomyces qinglanensis	99.97
Clostridium tertium	98.50
Marinomonas primoryensis	96.72
Moraxella bovis	99.10
Sphingomonas carotinifaciens	99.34
Chryseobacterium lathyri	99.46
Herminiimonas fonticola	100.00
Dietzia maris	98.07
Halomonas sulfidaeris	97.00
Acidithiobacillus ferridurans	99.43
Vibrio tarriae	97.98
Corynebacterium heidelbergense	98.16
Vallitalea guaymasensis	97.81
Pedobacter chitinilyticus	100.00
Eoetvoesia caeni	100.00
Oceanihabitans sediminis	100.00
Pseudocitrobacter faecalis	98.70
Garciella nitratireducens	99.41
Marinomonas rhizomae	99.99
Brenneria salicis	100.00
Aliarcobacter vitoriensis	99.99
Chromobacterium phragmitis	99.03
Microbacterium sorbitolivorans	99.99
Kalamiella piersonii	99.81
Paraburkholderia terricola	99.52
Streptomyces atratus	97.49
Janibacter anophelis	96.36
Microvirga aerophila	99.98
Nocardioides houyundeii	98.99
Vibrio casei	99.62
Chryseobacterium lacus	98.97
Marinitenerispora sediminis	99.97
Notoacmeibacter marinus	97.69
Halopolyspora algeriensis	100.00
Vagococcus fluvialis	98.76
Extensimonas vulgaris	100.00
Senegalimassilia anaerobia	97.47
Eggerthella sinensis	99.06
Slackia isoflavoniconvertens	98.20
Gordonibacter pamelaeae	98.97
Haloplanus rubicundus	98.93
Intrasporangium calvum	99.13
Renibacterium salmoninarum	99.99
Marinobacter vulgaris	100.00
Streptomyces lincolnensis	100.00
Flavobacterium arcticum	100.00
Malaciobacter halophilus	100.00
Malaciobacter mytili	99.73
Halarcobacter bivalviorum	98.86
Francisella opportunistica	99.92
Thermomonas haemolytica	100.00
Gluconacetobacter liquefaciens	100.00
Aquicella lusitana	100.00
Flavobacterium glaciei	100.00
Halopelagius longus	99.99
Rhizobium grahamii	97.28
Bosea caraganae	100.00
Shewanella corallii	96.19
Brachybacterium saurashtrense	99.99
Aliarcobacter trophiarum	99.94
Enterobacillus tribolii	100.00
Alteriqipengyuania lutimaris	100.00
Weissella thailandensis	100.00
Parabacteroides acidifaciens	99.99
Paraburkholderia caffeinilytica	100.00
Paracoccus thiocyanatus	97.36
Halobacillus trueperi	96.30
Pectobacterium aquaticum	98.61
Lutibacter oceani	100.00
Pelolinea submarina	100.00
Amycolatopsis thermalba	99.64
Chryseobacterium rhizosphaerae	99.55
Pontivivens insulae	100.00
Rhodopseudomonas pentothenatexigens	100.00
Enterococcus pseudoavium	98.50
Asanoa ferruginea	100.00
Methylovirgula ligni	100.00
Subtercola boreus	100.00
Pyrobaculum aerophilum	98.63
Streptomyces spongiicola	98.81
Faecalimonas umbilicata	98.74
Xanthomonas nasturtii	98.99
Micromonospora craniellae	100.00
Lactobacillus rodentium	100.00
Evtepia gabavorous	99.95
Paraliobacillus quinghaiensis	100.00
Paraliobacillus zengyii	99.63
Cysteiniphilum litorale	99.99
Chromatocurvus halotolerans	100.00
Streptococcus chenjunshii	100.00
Natrarchaeobaculum sulfurireducens	99.29
Maritalea myrionectae	97.19
Lactococcus petauri	98.25
Anaerococcus nagyae	99.13
Sellimonas intestinalis	99.58
Eisenbergiella massiliensis	98.36
Anaerofustis stercorihominis	99.18
Collinsella tanakaei	97.67
Phocaeicola plebeius	97.46
Bacteroides oleiciplenus	99.45
Megamonas rupellensis	98.26
Xanthomarina gelatinilytica	98.27
Hyphomonas atlantica	98.92
Hyphomonas adhaerens	97.28
Paraprevotella xylaniphila	98.96
Barnesiella intestinihominis	98.63
Parasutterella excrementihominis	98.40
Prevotella stercorea	96.88
Microbacterium ginsengisoli	99.29
Haliea salexigens	97.70
Marinobacter adhaerens	97.72
Phocaeicola coprocola	98.84
Holdemania filiformis	97.83
Holdemanella biformis	97.40
Paraprevotella clara	97.94
Collinsella intestinalis	97.47
Mitsuokella multacida	96.83
Emergencia timonensis	98.93
Roseovarius nubinhibens	97.34
Thermus scotoductus	97.30
Erwinia persicina	98.91
Syntrophorhabdus aromaticivorans	99.57
Terrisporobacter hibernicus	98.16
Chloroflexus aurantiacus	99.98
Chryseobacterium carnipullorum	98.56
Oceanobacillus profundus	99.75
Anaerolinea thermolimosa	99.23
Nitrosomonas nitrosa	99.11
Bavariicoccus seileri	99.99
Listeria weihenstephanensis	99.12
Flexistipes sinusarabici	98.12
Gemmatimonas aurantiaca	100.00
Arcobacter suis	100.00
Arcobacter ellisii	100.00
Leptospira yasudae	97.33
Leptospira stimsonii	99.61
Helicobacter saguini	99.99
Borrelia turicatae	99.09
Streptomyces sporangiiformans	100.00
Simplicispira metamorpha	99.99
Vibrio superstes	100.00
Mesobacillus zeae	100.00
Companilactobacillus formosensis	100.00
Companilactobacillus musae	100.00
Meiothermus hypogaeus	100.00
Meiothermus granaticius	100.00
Methylobacterium crusticola	99.96
Azohydromonas sediminis	96.69
Clostridium chromiireducens	98.31
Clavibacter californiensis	99.99
Henriciella mobilis	98.95
Clavibacter phaseoli	98.86
Micromonospora endophytica	99.98
Mycoplasmopsis gallopavonis	99.98
Muricauda maritima	100.00
Muricauda aequoris	99.99
Pusillimonas maritima	96.48
Pseudoalteromonas profundi	97.81
Paracoccus siganidrum	100.00
Mesorhizobium jarvisii	99.67
Rahnella variigena	98.55
Shewanella algidipiscicola	99.55
Shewanella japonica	98.70
Clostridium septicum	99.90
Caminicella sporogenes	99.99
Catellatospora citrea	100.00
Dietzia kunjamensis	99.23
Epilithonimonas arachidiradicis	100.00
Sphingobacterium siyangense	97.07
Acinetobacter guerrae	98.72
Acinetobacter cumulans	98.50
Roseomonas wenyumeiae	100.00
Micromonospora tulbaghiae	97.80
Halomonas alkaliphila	98.48
Paenibacillus aceti	99.98
Mycobacterium paragordonae	98.78
Chitinophaga barathri	100.00
Micromonospora musae	99.19
Streptomyces radicis	100.00
Micromonospora endolithica	100.00
Pseudarthrobacter phenanthrenivorans	98.52
Roseivirga pacifica	97.64
Oceanibaculum indicum	97.16
Otariodibacter oris	100.00
Roseovarius halotolerans	100.00
Helicobacter mehlei	99.47
Kurthia gibsonii	97.29
Sulfurisoma sediminicola	100.00
Pedobacter alluvionis	100.00
Planococcus citreus	99.99
Propionibacterium australiense	99.93
Xanthobacter tagetidis	100.00
Mycetocola manganoxydans	100.00
Mesobacillus foraminis	98.41
Mycetocola zhadangensis	99.99
Helicobacter felis	97.17
Bacteroides acidifaciens	98.66
Parashewanella spongiae	99.99
Kocuria tytonicola	98.98
Glutamicibacter nicotianae	97.27
Euzebyella marina	100.00
Haloplanus aerogenes	100.00
Corynebacterium macginleyi	98.80
Pseudomonas songnenensis	99.44
[Pseudomonas] zhaodongensis	99.66
Methylobacterium brachiatum	98.02
Pseudomonas ficuserectae	99.32
Franklinella schreckenbergeri	97.75
Corticibacter populi	100.00
Auritidibacter ignavus	99.21
Brevibacillus centrosporus	99.80
Actinoplanes teichomyceticus	99.98
Vibrio zhugei	100.00
Parvibacter caecicola	98.96
Dickeya undicola	99.22
Chryseobacterium daecheongense	98.71
Kaistella haifensis	96.47
Chryseobacterium cucumeris	98.95
Kaistella daneshvariae	96.36
Brevundimonas halotolerans	100.00
Pseudomonas canadensis	98.50
Pseudofulvimonas gallinarii	99.99
Stella humosa	99.99
Caminibacter pacificus	99.96
Plantibacter flavus	100.00
Kluyvera ascorbata	98.95
Neisseria chenwenguii	99.74
Neisseria animalis	100.00
Citrobacter europaeus	99.41
Shewanella psychromarinicola	100.00
Shewanella vesiculosa	98.97
Vulcaniibacterium tengchongense	100.00
Frederiksenia canicola	100.00
Hydrogenoanaerobacterium saccharovorans	100.00
Salisediminibacterium halotolerans	100.00
Chryseobacterium nakagawai	100.00
Chryseobacterium lactis	100.00
Chryseobacterium joostei	99.59
Chryseobacterium indoltheticum	98.31
Chryseobacterium balustinum	100.00
Citrobacter youngae	98.50
Campylobacter hepaticus	99.94
Okeania hirsuta	99.46
Methanosalsum natronophilum	99.38
Vespertiliibacter pulmonis	100.00
Pseudomonas sessilinigenes	100.00
Pseudomonas orientalis	96.99
Cellulomonas algicola	99.25
Butyricimonas faecihominis	98.99
Tenacibaculum discolor	98.05
Lysinibacillus composti	100.00
Micromonospora chalcea	97.97
Micromonospora ureilytica	98.04
Buchananella hordeovulneris	98.82
Amphritea balenae	100.00
Bacillus pacificus	98.66
Fusobacterium canifelinum	98.31
Streptococcus minor	98.21
Actinomyces bowdenii	93.77
Chryseobacterium taklimakanense	96.92
Epilithonimonas vandammei	96.64
Variovorax beijingensis	99.42
Sulfurirhabdus autotrophica	100.00
Mesosutterella multiformis	99.18
Pseudomonas saudiphocaensis	98.06
Vibrio pectenicida	99.42
Acinetobacter variabilis	97.65
Atlantibacter subterranea	99.46
Bhargavaea beijingensis	99.41
Paenibacillus baekrokdamisoli	100.00
Companilactobacillus mishanensis	98.70
Amycolatopsis balhimycina	99.99
Halomonas venusta	99.20
Enterobacter quasiroggenkampii	98.62
Deinococcus radiophilus	99.98
Bacillus yapensis	100.00
Bacillus albus	98.95
Sphingosinicella microcystinivorans	100.00
Sulfodiicoccus acidiphilus	99.98
Sulfuritortus calidifontis	100.00
Staphylococcus schleiferi	99.90
Staphylococcus saccharolyticus	99.22
Vibrio penaeicida	99.98
Staphylococcus piscifermentans	99.98
Rhizobium fabae	100.00
Rhizobium chutanense	96.70
Pseudidiomarina donghaiensis	100.00
Pseudidiomarina planktonica	100.00
Vagococcus carniphilus	100.00
Halomonas populi	98.95
Legionella septentrionalis	99.52
Legionella qingyii	99.89
Butyricimonas faecalis	99.72
Chroococcidiopsis cubana	99.97
Dulcicalothrix desertica	99.98
Halomicrobium mukohataei	100.00
Pelagibacterium lentulum	99.97
Chitinophaga solisilvae	98.67
Brevibacterium linens	99.09
Neobacillus mesonae	99.01
Nocardioides pantholopis	99.02
Glycocaulis alkaliphilus	100.00
Georgenia faecalis	99.00
Paenibacillus glycanilyticus	97.91
Lactobacillus xujianguonis	99.88
Acidipropionibacterium jensenii	98.70
[Pantoea] beijingensis	99.99
Arcobacter venerupis	100.00
Nocardioides yefusunii	100.00
Arcticibacter tournemirensis	98.70
Curtobacterium flaccumfaciens	97.68
Leeuwenhoekiella marinoflava	100.00
Leeuwenhoekiella palythoae	98.79
Leeuwenhoekiella aestuarii	99.82
Bradyrhizobium zhanjiangense	98.67
Bradyrhizobium guangzhouense	99.42
Bradyrhizobium nanningense	99.57
Corynebacterium pelargi	100.00
Bradyrhizobium guangdongense	99.99
Arcobacter defluvii	100.00
Arcobacter aquimarinus	100.00
Arcobacter cloacae	100.00
Deinococcus metallilatus	100.00
Halarcobacter ebronensis	98.83
Fervidobacterium changbaicum	99.98
Enterovibrio baiacu	100.00
Flavobacterium piscinae	99.67
Silvibacterium dinghuense	100.00
Pseudomonas hydrolytica	98.98
Lacticaseibacillus chiayiensis	99.34
Agromyces atrinae	98.96
Aeromicrobium fastidiosum	100.00
Sphingomonas desiccabilis	100.00
Pseudomonas arsenicoxydans	96.67
Rothia koreensis	99.99
Nocardioides ganghwensis	100.00
Pectobacterium zantedeschiae	99.30
Muricauda olearia	96.29
Goekera deserti	100.00
Pusillimonas soli	100.00
Pusillimonas harenae	100.00
Serratia proteamaculans	98.75
Alistipes finegoldii	98.39
Malaciobacter pacificus	100.00
Microcella putealis	100.00
Leucobacter luti	99.99
Spiribacter vilamensis	100.00
Pseudoxanthomonas winnipegensis	98.08
Pseudobacter ginsenosidimutans	100.00
Egicoccus halophilus	99.99
Aquirufa antheringensis	96.83
Hyunsoonleella pacifica	100.00
Paracoccus sediminis	100.00
Streptomyces kasugaensis	98.61
Pseudoduganella albidiflava	100.00
Aeropyrum pernix	96.34
Campylobacter novaezeelandiae	98.74
Propioniciclava tarda	100.00
Lichenihabitans psoromatis	98.10
Stutzerimonas kirkiae	99.69
Pseudoalteromonas carrageenovora	100.00
Rhizobium pisi	99.99
Kribbella speibonae	98.41
Oricola cellulosilytica	100.00
Cytobacillus praedii	99.23
Seleniivibrio woodruffii	100.00
Lonepinella koalarum	99.62
Pedobacter psychrotolerans	100.00
Rubrivivax gelatinosus	100.00
Blautia coccoides	99.50
Frisingicoccus caecimuris	100.00
Rhodothalassium salexigens	100.00
Uruburuella suis	99.51
Pectinatus cerevisiiphilus	99.99
Longicatena caecimuris	98.91
Shewanella fodinae	98.80
Tepidimonas ignava	99.56
Testudinibacter aquarius	100.00
Longibaculum muris	99.22
Keratinibaculum paraultunense	99.97
Flavobacterium circumlabens	100.00
Rhodovulum adriaticum	100.00
Bisgaardia hudsonensis	100.00
Serpentinicella alkaliphila	100.00
Pseudobacteriovorax antillogorgiicola	100.00
Anseongella ginsenosidimutans	99.99
Tissierella praeacuta	99.55
Iodobacter fluviatilis	100.00
Dietzia cinnamea	97.42
Sodalis ligni	98.38
Pseudomonas vancouverensis	100.00
Sporanaerobacter acetigenes	99.60
Streptococcus vicugnae	98.48
Luteimonas terricola	99.97
Gordonia zhaorongruii	99.66
Hydrogenophaga pseudoflava	97.69
Shewanella decolorationis	97.46
Arthrobacter nitrophenolicus	97.35
Macrococcus bohemicus	98.29
Macrococcus hajekii	100.00
Macrococcus canis	97.16
Macrococcus goetzii	96.67
Scandinavium goeteborgense	97.81
Azoarcus indigens	100.00
Stakelama pacifica	100.00
Actinoplanes brasiliensis	99.99
Phyllobacterium brassicacearum	100.00
Oharaeibacter diazotrophicus	100.00
Permianibacter aggregans	100.00
Methanimicrococcus blatticola	99.96
Photobacterium lutimaris	100.00
Flavobacterium cheniae	100.00
Listeria rocourtiae	99.42
Panacagrimonas perspica	100.00
Allofrancisella inopinata	99.99
Orenia marismortui	97.16
Amycolatopsis arida	99.99
Agromyces flavus	100.00
Halomonas xianhensis	96.30
Mycolicibacterium litorale	100.00
Algoriphagus zhangzhouensis	100.00
Rhodobaca bogoriensis	100.00
Herbaspirillum huttiense	97.02
Rheinheimera aquimaris	97.31
Mucilaginibacter phyllosphaerae	100.00
Sporosarcina pasteurii	100.00
Cryobacterium levicorallinum	100.00
Cryobacterium luteum	100.00
Cryobacterium flavum	99.99
Cryobacterium psychrophilum	99.99
Dysgonomonas capnocytophagoides	99.44
Pseudoduganella plicata	99.99
Sphingobacterium psychroaquaticum	99.21
Micrococcus yunnanensis	98.43
Shinella sumterensis	99.99
Saccharomonospora xinjiangensis	96.85
Halorussus marinus	99.23
Luteimonas yindakuii	98.11
Actinomyces viscosus	99.99
Porphyromonas levii	99.09
Leuconostoc kimchii	99.64
Micrococcus flavus	99.99
Micrococcus endophyticus	98.61
Cryobacterium psychrotolerans	99.99
Muribacter muris	97.00
Bradyrhizobium frederickii	97.44
Flavobacterium salilacus	97.36
Vagococcus xieshaowenii	99.98
Serratia quinivorans	98.67
Planococcus koreensis	99.99
Vibrio echinoideorum	100.00
Arsenophonus nasoniae	99.88
Leptospira yanagawae	98.55
Leptospira brenneri	99.45
Leptospira langatensis	100.00
Leptospira selangorensis	97.96
Leptospira vanthielii	98.51
Leptospira barantonii	96.31
Nocardioides daphniae	99.93
Streptomyces griseoluteus	99.99
Planococcus halotolerans	99.19
Staphylococcus pragensis	99.99
Marinobacter confluentis	100.00
Paracoccus liaowanqingii	97.07
Aeromicrobium chenweiae	100.00
Marinobacter orientalis	99.99
Sphingomonas naasensis	100.00
Pasteurella caecimuris	99.55
Cellulomonas shaoxiangyii	99.99
Marinicauda pacifica	100.00
Marinicauda algicola	100.00
Actinomyces procaprae	98.65
Robertkochia marina	100.00
Halobellus limi	99.99
Metabacillus sediminilitoris	99.98
Candidatus Frankia alpina	98.82
Microbacterium hydrothermale	97.27
Rhizobium rosettiformans	100.00
Salinigranum halophilum	98.05
Sphingobacterium alkalisoli	100.00
Halorientalis salina	100.00
Enterococcus lactis	98.69
Agrobacterium salinitolerans	98.49
Pedobacter hiemivivus	97.92
Nocardioides jishulii	100.00
Pseudomonas asiatica	99.11
Stenotrophomonas rhizophila	96.64
Cellulosimicrobium cellulans	97.63
Natronorubrum halophilum	97.40
Pseudomonas rhizoryzae	100.00
Streptomyces galbus	99.57
Pseudoduganella umbonata	100.00
Echinicola rosea	100.00
Vibrio chagasii	100.00
Vibrio gallaecicus	99.58
Weissella bombi	99.99
Weissella hellenica	100.00
Mycolicibacterium phocaicum	99.99
Mariprofundus erugo	99.00
Rhodoluna limnophila	97.78
Dyadobacter sediminis	100.00
Rhizobium indicum	97.95
Thermomonas fusca	96.17
Vagococcus zengguangii	99.62
Marinilactibacillus psychrotolerans	98.79
Pediococcus stilesii	97.80
Streptomyces tibetensis	100.00
[Pseudomonas] nosocomialis	99.17
Pseudoalteromonas flavipulchra	98.59
Natrinema pallidum	99.27
Pedobacter xixiisoli	100.00
Brucella haematophila	99.83
Inhella inkyongensis	100.00
Streptomyces chryseus	99.67
Companilactobacillus futsaii	99.31
Neptunomonas concharum	100.00
Campylobacter armoricus	99.44
Actinomyces wuliandei	99.63
Vibrio tasmaniensis	100.00
Nonomuraea phyllanthi	99.36
Brevibacterium sediminis	98.82
Sphingomonas japonica	100.00
Bacillus tropicus	96.58
Clostridium thermarum	98.89
Pelagovum pacificum	100.00
Corallococcus exiguus	97.32
Brucella pecoris	99.97
Oleibacter marinus	98.69
Cellulomonas oligotrophica	100.00
Mycoplasma struthionis	98.52
Bradyrhizobium symbiodeficiens	98.59
Prosthecomicrobium hirschii	97.85
