species	ANI
Haemophilus haemolyticus	95.16
Mycobacterium colombiense	98.88
Sporolactobacillus inulinus	99.57
Vibrio tubiashii	99.16
Mycoplasmopsis columbina	99.56
Haemophilus pittmaniae	99.09
Streptococcus constellatus	98.53
Mycoplasma putrefaciens	99.56
Neisseria weaveri	99.30
Prevotella oulorum	98.36
Enterobacter soli	98.77
Sphingobium yanoikuyae	96.51
Serinicoccus profundi	99.98
Paenibacillus riograndensis	98.73
Fructilactobacillus sanfranciscensis	99.50
Acetobacter tropicalis	97.72
Bacillus altitudinis	98.32
Xanthomonas sacchari	100.00
Bacteroides faecis	99.43
Chloracidobacterium thermophilum	99.99
Taylorella asinigenitalis	98.37
Halobiforma lacisalsi	99.96
Acidithiobacillus thiooxidans	98.77
Peptoniphilus indolicus	99.87
Malacoplasma iowae	99.71
Komagataeibacter europaeus	98.67
Komagataeibacter oboediens	99.01
Streptococcus sobrinus	98.96
Natronobacterium gregoryi	99.98
Natrinema pellirubrum	99.98
Paenibacillus lactis	99.32
Saccharomonospora iraqiensis	96.98
Alistipes indistinctus	99.45
Leucobacter chromiiresistens	99.97
Fischerella thermalis	99.00
Pseudoxanthomonas spadix	98.99
Mycolicibacterium conceptionense	99.18
Agrobacterium tumefaciens	98.18
Streptococcus intermedius	98.51
Prevotella histicola	97.90
Alloprevotella rava	96.70
Selenomonas noxia	98.40
Enterocloster clostridioformis	99.57
Rhodococcus opacus	98.79
Mycolicibacterium thermoresistibile	99.93
Corynebacterium casei	98.88
Staphylococcus simiae	96.39
Crocosphaera watsonii	99.49
Latilactobacillus curvatus	99.25
Novosphingobium pentaromativorans	100.00
Halomonas boliviensis	99.96
Fluoribacter dumoffii	99.76
Azospira oryzae	98.42
Pseudomonas psychrotolerans	98.13
Staphylococcus argenteus	99.01
Rhodococcus pyridinivorans	98.99
Saccharomonospora azurea	99.21
Pseudomonas chlororaphis	98.20
Helicobacter bizzozeronii	96.78
Streptantibioticus cattleyicolor	99.99
Azospirillum baldaniorum	99.31
Pediococcus claussenii	99.97
Peptoanaerobacter stomatis	97.95
Tannerella forsythia	98.80
Pseudoalteromonas piscicida	97.70
Carnobacterium maltaromaticum	98.59
Bacillus smithii	99.00
Lentilactobacillus parafarraginis	98.97
Flavonifractor plautii	98.53
Yokenella regensburgei	99.52
Cardiobacterium valvarum	96.68
Enterobacter ludwigii	99.01
Flavobacterium columnare	99.58
Elizabethkingia anophelis	98.47
Clostridium sporogenes	99.38
Klebsiella michiganensis	98.84
Oenococcus kitaharae	99.98
Gordonia araii	100.00
Gordonia polyisoprenivorans	98.93
Comamonas testosteroni	99.79
Caldithrix abyssi	99.99
Streptomyces coelicoflavus	97.97
Rahnella aquatilis	99.73
Myroides odoratimimus	98.39
Pseudomonas extremaustralis	99.39
Lentilactobacillus kisonensis	99.78
Singulisphaera acidiphila	99.96
Prevotella maculosa	98.45
Prevotella micans	99.32
Myroides odoratus	97.40
Geobacter metallireducens	99.99
Leptospira noguchii	97.40
Leptospira kirschneri	98.98
Bacillus vallismortis	98.95
Bacillus mojavensis	99.25
Megamonas funiformis	98.55
Niastella koreensis	99.99
Sporolactobacillus vineae	100.00
Vibrio cyclitrophicus	99.01
Klebsiella oxytoca	99.44
Raoultella ornithinolytica	99.56
Atlantibacter hermannii	99.39
Gordonia terrae	99.36
Gordonia sputi	98.62
Limosilactobacillus mucosae	97.14
Acinetobacter ursingii	97.84
Acinetobacter parvus	98.83
Acinetobacter bereziniae	98.56
Acinetobacter nosocomialis	98.01
Pantoea stewartii	99.28
Pseudomonas fragi	98.95
Saprospira grandis	96.43
Pseudomonas fuscovaginae	98.83
Rickettsia slovaca	99.99
Listeria fleischmannii	99.02
Thermus parvatiensis	98.44
Salmonella bongori	99.31
Bartonella clarridgeiae	99.94
Mycoplasma leachii	99.15
Streptomyces venezuelae	99.66
Flavobacterium branchiophilum	99.07
Liquorilactobacillus vini	99.74
Pseudomonas mandelii	99.41
Bradyrhizobium elkanii	98.68
Lachnoanaerobaculum saburreum	97.82
Mycolicibacterium phlei	99.90
Mycobacterium xenopi	99.78
Rothia aeria	97.88
Pedobacter agri	99.99
Stenotrophomonas geniculata	97.92
Mycoplasmopsis canis	98.65
Marinilabilia salmonicolor	93.49
Halococcus hamelinensis	99.98
Borrelia crocidurae	98.88
Salinispora arenicola	99.05
Salinispora pacifica	98.72
Vibrio harveyi	98.86
Staphylococcus pettenkoferi	97.25
Leuconostoc carnosum	99.57
Paucilactobacillus suebicus	99.99
Liquorilactobacillus mali	99.87
Lacticaseibacillus zeae	98.38
Companilactobacillus versmoldensis	99.99
Ligilactobacillus acidipiscis	98.56
Haemophilus paraphrohaemolyticus	97.40
Secundilactobacillus malefermentans	99.88
Prevotella intermedia	96.85
Serratia inhibens	99.36
Ensifer sojae	99.99
Bradyrhizobium japonicum	98.91
Bradyrhizobium yuanmingense	97.94
Pseudomonas monteilii	98.53
Bacillus siamensis	98.70
Pseudomonas furukawaii	99.62
